days,kWh
21/08/23,0.831
22/08/23,3.7
23/08/23,4.232
24/08/23,3.68
25/08/23,4.188
26/08/23,4.609
27/08/23,3.524
28/08/23,3.409
29/08/23,3.514
30/08/23,3.695
31/08/23,3.767
01/09/23,3.795
02/09/23,4.255
03/09/23,3.806
04/09/23,3.465
05/09/23,3.64
06/09/23,3.323
07/09/23,3.375
08/09/23,4.288
09/09/23,4.006
10/09/23,4.045
11/09/23,3.924
12/09/23,3.444
13/09/23,4.453
14/09/23,3.746
15/09/23,3.761
16/09/23,4.366
17/09/23,4.683
18/09/23,3.803
19/09/23,3.223
20/09/23,3.18
21/09/23,3.999
22/09/23,3.672
23/09/23,3.166
24/09/23,3.796
25/09/23,4.146
26/09/23,3.755
27/09/23,3.573
28/09/23,4.781
29/09/23,4.187
30/09/23,4.543
01/10/23,3.774
02/10/23,3.408
03/10/23,4.304
04/10/23,3.877
05/10/23,3.864
06/10/23,3.437
07/10/23,4.08
08/10/23,3.655
09/10/23,3.399
10/10/23,4.135
11/10/23,3.383
12/10/23,3.887
13/10/23,3.836
14/10/23,3.643
15/10/23,3.751
16/10/23,4.244
17/10/23,3.303
18/10/23,3.87
19/10/23,2.98
20/10/23,2.055
21/10/23,2.042
22/10/23,2.454
23/10/23,4.088
24/10/23,3.724
25/10/23,4.33
26/10/23,3.615
27/10/23,3.92
28/10/23,3.743
29/10/23,3.92
30/10/23,3.988
31/10/23,4.111
01/11/23,3.647
02/11/23,3.158
03/11/23,3.804
04/11/23,3.51
05/11/23,3.624
06/11/23,3.709
07/11/23,3.685
08/11/23,3.239
09/11/23,3.905
10/11/23,3.216
11/11/23,3.789
12/11/23,3.608
13/11/23,4.082
14/11/23,3.587
15/11/23,3.366
16/11/23,3.816
17/11/23,4.064
18/11/23,4.333
19/11/23,4.132
20/11/23,3.997
21/11/23,4.231
22/11/23,3.749
23/11/23,3.923
24/11/23,3.864
25/11/23,3.913
26/11/23,3.742
27/11/23,4.045
28/11/23,4.346
29/11/23,3.886
30/11/23,3.504
01/12/23,3.683
02/12/23,3.673
03/12/23,3.345
04/12/23,3.846
05/12/23,3.995
06/12/23,4.103
07/12/23,3.474
08/12/23,4.176
09/12/23,3.606
10/12/23,4.077
11/12/23,4.531
12/12/23,3.684
13/12/23,3.428
14/12/23,3.581
15/12/23,4.164
16/12/23,3.695
17/12/23,4.083
18/12/23,3.98
19/12/23,3.745
20/12/23,3.592
21/12/23,5.128
22/12/23,3.699
23/12/23,3.765
24/12/23,4.293
25/12/23,4.102
26/12/23,4.715
27/12/23,4.401
28/12/23,3.983
29/12/23,3.779
30/12/23,4.361
31/12/23,4.681
01/01/24,4.199
02/01/24,4.788
