,Interval,kWh,sec,Wh,cumul(ms),dates,days
1574532,26527,0.14,26.527,135.71078523768236,38984673261,2024-11-15 00:00:17.002085,15/11/24
1574533,25087,0.14,25.087,143.50061784988242,38984698348,2024-11-15 00:00:42.089085,15/11/24
1574534,25386,0.14,25.386,141.81044670290711,38984723734,2024-11-15 00:01:07.475085,15/11/24
1574535,26025,0.14,26.025,138.328530259366,38984749759,2024-11-15 00:01:33.500085,15/11/24
1574536,26856,0.13,26.856,134.04825737265415,38984776615,2024-11-15 00:02:00.356085,15/11/24
1574537,27171,0.13,27.171,132.49420337860218,38984803786,2024-11-15 00:02:27.527085,15/11/24
1574538,27449,0.13,27.449,131.15231884585958,38984831235,2024-11-15 00:02:54.976085,15/11/24
1574539,27625,0.13,27.625,130.31674208144796,38984858860,2024-11-15 00:03:22.601085,15/11/24
1574540,27765,0.13,27.765,129.65964343598054,38984886625,2024-11-15 00:03:50.366085,15/11/24
1574541,27645,0.13,27.645,130.22246337493218,38984914270,2024-11-15 00:04:18.011085,15/11/24
1574542,27323,0.13,27.323,131.75712769461626,38984941593,2024-11-15 00:04:45.334085,15/11/24
1574543,27162,0.13,27.162,132.5381047051027,38984968755,2024-11-15 00:05:12.496085,15/11/24
1574544,26807,0.13,26.807,134.2932816055508,38984995562,2024-11-15 00:05:39.303085,15/11/24
1574545,25642,0.14,25.642,140.3946650027299,38985021204,2024-11-15 00:06:04.945085,15/11/24
1574546,25565,0.14,25.565,140.81752395853707,38985046769,2024-11-15 00:06:30.510085,15/11/24
1574547,25186,0.14,25.186,142.9365520527277,38985071955,2024-11-15 00:06:55.696085,15/11/24
1574548,25438,0.14,25.438,141.5205597924365,38985097393,2024-11-15 00:07:21.134085,15/11/24
1574549,25531,0.14,25.531,141.0050526810544,38985122924,2024-11-15 00:07:46.665085,15/11/24
1574550,25530,0.14,25.53,141.0105757931845,38985148454,2024-11-15 00:08:12.195085,15/11/24
1574551,25598,0.14,25.598,140.63598718649894,38985174052,2024-11-15 00:08:37.793085,15/11/24
1574552,25280,0.14,25.28,142.40506329113924,38985199332,2024-11-15 00:09:03.073085,15/11/24
1574553,25539,0.14,25.539,140.96088335486903,38985224871,2024-11-15 00:09:28.612085,15/11/24
1574554,25394,0.14,25.394,141.76577144207292,38985250265,2024-11-15 00:09:54.006085,15/11/24
1574555,25100,0.14,25.1,143.42629482071712,38985275365,2024-11-15 00:10:19.106085,15/11/24
1574556,25354,0.14,25.354,141.9894296757908,38985300719,2024-11-15 00:10:44.460085,15/11/24
1574557,25697,0.14,25.697,140.09417441724716,38985326416,2024-11-15 00:11:10.157085,15/11/24
1574558,25293,0.14,25.293,142.33187047799785,38985351709,2024-11-15 00:11:35.450085,15/11/24
1574559,25403,0.14,25.403,141.71554540802268,38985377112,2024-11-15 00:12:00.853085,15/11/24
1574560,25619,0.14,25.619,140.52070728756001,38985402731,2024-11-15 00:12:26.472085,15/11/24
1574561,25831,0.14,25.831,139.36742673531802,38985428562,2024-11-15 00:12:52.303085,15/11/24
1574562,26243,0.14,26.243,137.17943832641086,38985454805,2024-11-15 00:13:18.546085,15/11/24
1574563,26442,0.14,26.442,136.14703880190606,38985481247,2024-11-15 00:13:44.988085,15/11/24
1574564,26234,0.14,26.234,137.22649996188153,38985507481,2024-11-15 00:14:11.222085,15/11/24
1574565,26248,0.14,26.248,137.15330691862238,38985533729,2024-11-15 00:14:37.470085,15/11/24
1574566,26381,0.14,26.381,136.46184754179143,38985560110,2024-11-15 00:15:03.851085,15/11/24
1574567,26678,0.13,26.678,134.94264937401604,38985586788,2024-11-15 00:15:30.529085,15/11/24
1574568,26352,0.14,26.352,136.6120218579235,38985613140,2024-11-15 00:15:56.881085,15/11/24
1574569,26374,0.14,26.374,136.4980662773944,38985639514,2024-11-15 00:16:23.255085,15/11/24
1574570,26589,0.14,26.589,135.3943360036105,38985666103,2024-11-15 00:16:49.844085,15/11/24
1574571,27159,0.13,27.159,132.5527449464266,38985693262,2024-11-15 00:17:17.003085,15/11/24
1574572,27027,0.13,27.027,133.2001332001332,38985720289,2024-11-15 00:17:44.030085,15/11/24
1574573,27007,0.13,27.007,133.29877439182434,38985747296,2024-11-15 00:18:11.037085,15/11/24
1574574,26926,0.13,26.926,133.69976973928544,38985774222,2024-11-15 00:18:37.963085,15/11/24
1574575,26795,0.13,26.795,134.35342414629596,38985801017,2024-11-15 00:19:04.758085,15/11/24
1574576,27001,0.13,27.001,133.32839524462057,38985828018,2024-11-15 00:19:31.759085,15/11/24
1574577,27262,0.13,27.262,132.05194042990243,38985855280,2024-11-15 00:19:59.021085,15/11/24
1574578,27581,0.13,27.581,130.52463652514413,38985882861,2024-11-15 00:20:26.602085,15/11/24
1574579,27590,0.13,27.59,130.48205871692642,38985910451,2024-11-15 00:20:54.192085,15/11/24
1574580,27676,0.13,27.676,130.07660066483595,38985938127,2024-11-15 00:21:21.868085,15/11/24
1574581,27644,0.13,27.644,130.22717407032266,38985965771,2024-11-15 00:21:49.512085,15/11/24
1574582,26946,0.13,26.946,133.6005344021376,38985992717,2024-11-15 00:22:16.458085,15/11/24
1574583,26351,0.14,26.351,136.61720617813367,38986019068,2024-11-15 00:22:42.809085,15/11/24
1574584,25526,0.14,25.526,141.03267256914518,38986044594,2024-11-15 00:23:08.335085,15/11/24
1574585,26069,0.14,26.069,138.09505542982086,38986070663,2024-11-15 00:23:34.404085,15/11/24
1574586,27023,0.13,27.023,133.21984975761387,38986097686,2024-11-15 00:24:01.427085,15/11/24
1574587,27152,0.13,27.152,132.58691809074838,38986124838,2024-11-15 00:24:28.579085,15/11/24
1574588,27109,0.13,27.109,132.79722601350105,38986151947,2024-11-15 00:24:55.688085,15/11/24
1574589,26842,0.13,26.842,134.11817301244318,38986178789,2024-11-15 00:25:22.530085,15/11/24
1574590,26849,0.13,26.849,134.08320607843868,38986205638,2024-11-15 00:25:49.379085,15/11/24
1574591,27289,0.13,27.289,131.92128696544395,38986232927,2024-11-15 00:26:16.668085,15/11/24
1574592,27182,0.13,27.182,132.44058568170112,38986260109,2024-11-15 00:26:43.850085,15/11/24
1574593,26873,0.13,26.873,133.9634577456927,38986286982,2024-11-15 00:27:10.723085,15/11/24
1574594,27083,0.13,27.083,132.92471291954362,38986314065,2024-11-15 00:27:37.806085,15/11/24
1574595,27425,0.13,27.425,131.26709206927984,38986341490,2024-11-15 00:28:05.231085,15/11/24
1574596,27847,0.13,27.847,129.27783962365785,38986369337,2024-11-15 00:28:33.078085,15/11/24
1574597,28164,0.13,28.164,127.82275244993609,38986397501,2024-11-15 00:29:01.242085,15/11/24
1574598,28147,0.13,28.147,127.89995381390557,38986425648,2024-11-15 00:29:29.389085,15/11/24
1574599,27737,0.13,27.737,129.7905325017125,38986453385,2024-11-15 00:29:57.126085,15/11/24
1574600,27872,0.13,27.872,129.16188289322616,38986481257,2024-11-15 00:30:24.998085,15/11/24
1574601,28168,0.13,28.168,127.80460096563476,38986509425,2024-11-15 00:30:53.166085,15/11/24
1574602,28075,0.13,28.075,128.2279608192342,38986537500,2024-11-15 00:31:21.241085,15/11/24
1574603,28103,0.13,28.103,128.10020282532113,38986565603,2024-11-15 00:31:49.344085,15/11/24
1574604,27908,0.13,27.908,128.99527017342697,38986593511,2024-11-15 00:32:17.252085,15/11/24
1574605,27969,0.13,27.969,128.71393328327792,38986621480,2024-11-15 00:32:45.221085,15/11/24
1574606,27793,0.13,27.793,129.52901809808225,38986649273,2024-11-15 00:33:13.014085,15/11/24
1574607,27671,0.13,27.671,130.1001048028622,38986676944,2024-11-15 00:33:40.685085,15/11/24
1574608,27463,0.13,27.463,131.08546043767979,38986704407,2024-11-15 00:34:08.148085,15/11/24
1574609,27725,0.13,27.725,129.8467087466186,38986732132,2024-11-15 00:34:35.873085,15/11/24
1574610,28021,0.13,28.021,128.47507226722814,38986760153,2024-11-15 00:35:03.894085,15/11/24
1574611,27878,0.13,27.878,129.1340842241194,38986788031,2024-11-15 00:35:31.772085,15/11/24
1574612,27930,0.13,27.93,128.89366272824918,38986815961,2024-11-15 00:35:59.702085,15/11/24
1574613,28016,0.13,28.016,128.49800114220446,38986843977,2024-11-15 00:36:27.718085,15/11/24
1574614,26916,0.13,26.916,133.74944271065536,38986870893,2024-11-15 00:36:54.634085,15/11/24
1574615,26264,0.14,26.264,137.0697532744441,38986897157,2024-11-15 00:37:20.898085,15/11/24
1574616,26585,0.14,26.585,135.4147075418469,38986923742,2024-11-15 00:37:47.483085,15/11/24
