heure,Interval,kWh,sec,Wh,cumul(ms),dates,days
0:0:17,27152,0.13,27.152,132.58691809074838,41314946757,2024-12-12 00:00:17.418952,12/12/24
0:0:44,27247,0.13,27.247,132.1246375747789,41314974004,2024-12-12 00:00:44.665952,12/12/24
0:1:11,27113,0.13,27.113,132.77763434514807,41315001117,2024-12-12 00:01:11.778952,12/12/24
0:1:38,27015,0.13,27.015,133.25930038867295,41315028132,2024-12-12 00:01:38.793952,12/12/24
0:2:5,27010,0.13,27.01,133.28396890040725,41315055142,2024-12-12 00:02:05.803952,12/12/24
0:2:33,27309,0.13,27.309,131.8246731846644,41315082451,2024-12-12 00:02:33.112952,12/12/24
0:3:0,27145,0.13,27.145,132.62110885982685,41315109596,2024-12-12 00:03:00.257952,12/12/24
0:3:27,26842,0.13,26.842,134.11817301244318,41315136438,2024-12-12 00:03:27.099952,12/12/24
0:3:54,27126,0.13,27.126,132.71400132714,41315163564,2024-12-12 00:03:54.225952,12/12/24
0:4:21,27029,0.13,27.029,133.190277109771,41315190593,2024-12-12 00:04:21.254952,12/12/24
0:4:47,26233,0.14,26.233,137.2317310258072,41315216826,2024-12-12 00:04:47.487952,12/12/24
0:5:11,24410,0.15,24.41,147.48054076198278,41315241236,2024-12-12 00:05:11.897952,12/12/24
0:5:37,25175,0.14,25.175,142.99900695134062,41315266411,2024-12-12 00:05:37.072952,12/12/24
0:6:2,25718,0.14,25.718,139.97978069834357,41315292129,2024-12-12 00:06:02.790952,12/12/24
0:6:28,26142,0.14,26.142,137.7094330961671,41315318271,2024-12-12 00:06:28.932952,12/12/24
0:6:55,26195,0.14,26.195,137.4308074059935,41315344466,2024-12-12 00:06:55.127952,12/12/24
0:7:21,26089,0.14,26.089,137.989190846717,41315370555,2024-12-12 00:07:21.216952,12/12/24
0:7:47,26127,0.14,26.127,137.78849466069582,41315396682,2024-12-12 00:07:47.343952,12/12/24
0:8:13,25751,0.14,25.751,139.8003961011223,41315422433,2024-12-12 00:08:13.094952,12/12/24
0:8:39,25999,0.14,25.999,138.46686411015807,41315448432,2024-12-12 00:08:39.093952,12/12/24
0:9:5,26613,0.14,26.613,135.27223537368954,41315475045,2024-12-12 00:09:05.706952,12/12/24
0:9:32,26926,0.13,26.926,133.69976973928544,41315501971,2024-12-12 00:09:32.632952,12/12/24
0:9:59,27139,0.13,27.139,132.65042927152805,41315529110,2024-12-12 00:09:59.771952,12/12/24
0:10:26,27122,0.13,27.122,132.73357422019026,41315556232,2024-12-12 00:10:26.893952,12/12/24
0:10:54,27172,0.13,27.172,132.48932724863832,41315583404,2024-12-12 00:10:54.065952,12/12/24
0:11:21,26937,0.13,26.937,133.64517206815904,41315610341,2024-12-12 00:11:21.002952,12/12/24
0:11:48,27359,0.13,27.359,131.58375671625424,41315637700,2024-12-12 00:11:48.361952,12/12/24
0:12:15,26882,0.13,26.882,133.91860724648464,41315664582,2024-12-12 00:12:15.243952,12/12/24
0:12:41,26415,0.14,26.415,136.2862010221465,41315690997,2024-12-12 00:12:41.658952,12/12/24
0:13:8,26799,0.13,26.799,134.3333706481585,41315717796,2024-12-12 00:13:08.457952,12/12/24
0:13:35,26871,0.13,26.871,133.973428603327,41315744667,2024-12-12 00:13:35.328952,12/12/24
0:14:2,26917,0.13,26.917,133.74447375264702,41315771584,2024-12-12 00:14:02.245952,12/12/24
0:14:28,26547,0.14,26.547,135.6085433382303,41315798131,2024-12-12 00:14:28.792952,12/12/24
0:14:55,26499,0.14,26.499,135.85418317672364,41315824630,2024-12-12 00:14:55.291952,12/12/24
0:15:22,26857,0.13,26.857,134.0432661875861,41315851487,2024-12-12 00:15:22.148952,12/12/24
0:15:49,26868,0.13,26.868,133.98838767306833,41315878355,2024-12-12 00:15:49.016952,12/12/24
0:16:16,27435,0.13,27.435,131.21924548933845,41315905790,2024-12-12 00:16:16.451952,12/12/24
0:16:42,26535,0.14,26.535,135.66986998304125,41315932325,2024-12-12 00:16:42.986952,12/12/24
0:17:9,26044,0.14,26.044,138.22761480571342,41315958369,2024-12-12 00:17:09.030952,12/12/24
0:17:35,26092,0.14,26.092,137.9733251571363,41315984461,2024-12-12 00:17:35.122952,12/12/24
0:18:1,26116,0.14,26.116,137.84653086230662,41316010577,2024-12-12 00:18:01.238952,12/12/24
0:18:27,26162,0.14,26.162,137.60415870346304,41316036739,2024-12-12 00:18:27.400952,12/12/24
0:18:53,25815,0.14,25.815,139.45380592678674,41316062554,2024-12-12 00:18:53.215952,12/12/24
0:19:18,25282,0.14,25.282,142.39379795902224,41316087836,2024-12-12 00:19:18.497952,12/12/24
0:19:43,25477,0.14,25.477,141.30392118381286,41316113313,2024-12-12 00:19:43.974952,12/12/24
0:20:9,25439,0.14,25.439,141.51499665867368,41316138752,2024-12-12 00:20:09.413952,12/12/24
0:20:35,25823,0.14,25.823,139.41060295085776,41316164575,2024-12-12 00:20:35.236952,12/12/24
0:21:0,25577,0.14,25.577,140.75145638659734,41316190152,2024-12-12 00:21:00.813952,12/12/24
0:21:26,25617,0.14,25.617,140.53167818245697,41316215769,2024-12-12 00:21:26.430952,12/12/24
0:21:51,25463,0.14,25.463,141.38161253583633,41316241232,2024-12-12 00:21:51.893952,12/12/24
0:22:17,25984,0.14,25.984,138.54679802955664,41316267216,2024-12-12 00:22:17.877952,12/12/24
0:22:43,25722,0.14,25.722,139.95801259622112,41316292938,2024-12-12 00:22:43.599952,12/12/24
0:23:9,25584,0.14,25.584,140.71294559099437,41316318522,2024-12-12 00:23:09.183952,12/12/24
0:23:35,25834,0.14,25.834,139.3512425485794,41316344356,2024-12-12 00:23:35.017952,12/12/24
0:24:0,25850,0.14,25.85,139.26499032882012,41316370206,2024-12-12 00:24:00.867952,12/12/24
0:24:26,25892,0.14,25.892,139.0390854317936,41316396098,2024-12-12 00:24:26.759952,12/12/24
0:24:52,25803,0.14,25.803,139.51866062085804,41316421901,2024-12-12 00:24:52.562952,12/12/24
0:25:18,25885,0.14,25.885,139.07668533899943,41316447786,2024-12-12 00:25:18.447952,12/12/24
0:25:44,26018,0.14,26.018,138.36574679068337,41316473804,2024-12-12 00:25:44.465952,12/12/24
0:26:10,25741,0.14,25.741,139.854706499359,41316499545,2024-12-12 00:26:10.206952,12/12/24
0:26:35,25721,0.14,25.721,139.9634539870145,41316525266,2024-12-12 00:26:35.927952,12/12/24
0:27:1,25804,0.14,25.804,139.5132537591071,41316551070,2024-12-12 00:27:01.731952,12/12/24
0:27:27,25617,0.14,25.617,140.53167818245697,41316576687,2024-12-12 00:27:27.348952,12/12/24
0:27:52,25262,0.14,25.262,142.50653154936268,41316601949,2024-12-12 00:27:52.610952,12/12/24
0:28:18,25411,0.14,25.411,141.67092991224274,41316627360,2024-12-12 00:28:18.021952,12/12/24
0:28:43,25059,0.14,25.059,143.66096013408355,41316652419,2024-12-12 00:28:43.080952,12/12/24
0:29:8,24967,0.14,24.967,144.19033123723315,41316677386,2024-12-12 00:29:08.047952,12/12/24
0:29:33,25077,0.14,25.077,143.5578418471109,41316702463,2024-12-12 00:29:33.124952,12/12/24
0:29:58,25307,0.14,25.307,142.2531315446319,41316727770,2024-12-12 00:29:58.431952,12/12/24
0:30:23,25349,0.14,25.349,142.01743658526965,41316753119,2024-12-12 00:30:23.780952,12/12/24
0:30:49,25347,0.14,25.347,142.02864244289265,41316778466,2024-12-12 00:30:49.127952,12/12/24
0:31:14,25300,0.14,25.3,142.29249011857706,41316803766,2024-12-12 00:31:14.427952,12/12/24
0:31:39,25327,0.14,25.327,142.1407983574841,41316829093,2024-12-12 00:31:39.754952,12/12/24
0:32:5,25261,0.14,25.261,142.5121729147698,41316854354,2024-12-12 00:32:05.015952,12/12/24
0:32:30,25422,0.14,25.422,141.60962945480293,41316879776,2024-12-12 00:32:30.437952,12/12/24
0:32:55,25530,0.14,25.53,141.0105757931845,41316905306,2024-12-12 00:32:55.967952,12/12/24
0:33:21,25617,0.14,25.617,140.53167818245697,41316930923,2024-12-12 00:33:21.584952,12/12/24
0:33:47,25628,0.14,25.628,140.47135945060091,41316956551,2024-12-12 00:33:47.212952,12/12/24
0:34:13,25830,0.14,25.83,139.37282229965157,41316982381,2024-12-12 00:34:13.042952,12/12/24
0:34:39,26037,0.14,26.037,138.26477704804702,41317008418,2024-12-12 00:34:39.079952,12/12/24
0:35:5,26013,0.14,26.013,138.39234229039326,41317034431,2024-12-12 00:35:05.092952,12/12/24
0:35:31,25950,0.14,25.95,138.72832369942196,41317060381,2024-12-12 00:35:31.042952,12/12/24
0:35:56,25828,0.14,25.828,139.38361468174074,41317086209,2024-12-12 00:35:56.870952,12/12/24
0:36:22,26011,0.14,26.011,138.40298335319673,41317112220,2024-12-12 00:36:22.881952,12/12/24
0:36:49,26145,0.14,26.145,137.69363166953528,41317138365,2024-12-12 00:36:49.026952,12/12/24
0:37:15,26056,0.14,26.056,138.1639545594105,41317164421,2024-12-12 00:37:15.082952,12/12/24
0:37:40,25793,0.14,25.793,139.57275229713488,41317190214,2024-12-12 00:37:40.875952,12/12/24
0:38:6,26005,0.14,26.005,138.43491636223803,41317216219,2024-12-12 00:38:06.880952,12/12/24
0:38:32,25667,0.14,25.667,140.2579187283282,41317241886,2024-12-12 00:38:32.547952,12/12/24
0:38:58,25588,0.14,25.588,140.69094888228858,41317267474,2024-12-12 00:38:58.135952,12/12/24
0:39:24,25923,0.14,25.923,138.87281564633722,41317293397,2024-12-12 00:39:24.058952,12/12/24
0:39:50,26014,0.14,26.014,138.38702237256862,41317319411,2024-12-12 00:39:50.072952,12/12/24
0:40:16,26551,0.14,26.551,135.58811344205492,41317345962,2024-12-12 00:40:16.623952,12/12/24
0:40:43,26512,0.14,26.512,135.78756789378394,41317372474,2024-12-12 00:40:43.135952,12/12/24
0:40:58,15462,0.23,15.462,232.8288707799767,41317387936,2024-12-12 00:40:58.597952,12/12/24
0:41:15,17247,0.21,17.247,208.73195338319707,41317405183,2024-12-12 00:41:15.844952,12/12/24
0:41:32,16840,0.21,16.84,213.77672209026127,41317422023,2024-12-12 00:41:32.684952,12/12/24
0:41:49,17163,0.21,17.163,209.7535395909806,41317439186,2024-12-12 00:41:49.847952,12/12/24
0:42:7,17379,0.21,17.379,207.14655618850335,41317456565,2024-12-12 00:42:07.226952,12/12/24
0:42:24,17399,0.21,17.399,206.90844301396632,41317473964,2024-12-12 00:42:24.625952,12/12/24
0:42:41,17253,0.21,17.253,208.65936358894106,41317491217,2024-12-12 00:42:41.878952,12/12/24
0:42:59,17161,0.21,17.161,209.7779849659111,41317508378,2024-12-12 00:42:59.039952,12/12/24
0:43:16,17130,0.21,17.13,210.15761821366024,41317525508,2024-12-12 00:43:16.169952,12/12/24
0:43:33,17189,0.21,17.189,209.43626738030136,41317542697,2024-12-12 00:43:33.358952,12/12/24
0:43:50,17070,0.21,17.07,210.896309314587,41317559767,2024-12-12 00:43:50.428952,12/12/24
0:44:7,17121,0.21,17.121,210.26809181706676,41317576888,2024-12-12 00:44:07.549952,12/12/24
0:44:24,17020,0.21,17.02,211.51586368977672,41317593908,2024-12-12 00:44:24.569952,12/12/24
0:44:41,17167,0.21,17.167,209.70466592881692,41317611075,2024-12-12 00:44:41.736952,12/12/24
0:44:59,17342,0.21,17.342,207.5885134355899,41317628417,2024-12-12 00:44:59.078952,12/12/24
0:45:16,17509,0.2,17.509,205.60854417728027,41317645926,2024-12-12 00:45:16.587952,12/12/24
0:45:34,17559,0.2,17.559,205.02306509482318,41317663485,2024-12-12 00:45:34.146952,12/12/24
0:45:51,17458,0.21,17.458,206.20918776492152,41317680943,2024-12-12 00:45:51.604952,12/12/24
0:46:9,17407,0.21,17.407,206.81335095076693,41317698350,2024-12-12 00:46:09.011952,12/12/24
0:46:26,17482,0.2,17.482,205.92609541242422,41317715832,2024-12-12 00:46:26.493952,12/12/24
0:46:44,17537,0.2,17.537,205.28026458345212,41317733369,2024-12-12 00:46:44.030952,12/12/24
0:47:1,17579,0.2,17.579,204.78980601854485,41317750948,2024-12-12 00:47:01.609952,12/12/24
0:47:19,17711,0.2,17.711,203.263508554006,41317768659,2024-12-12 00:47:19.320952,12/12/24
0:47:36,17651,0.2,17.651,203.95445017279474,41317786310,2024-12-12 00:47:36.971952,12/12/24
0:47:54,17661,0.2,17.661,203.83896721589943,41317803971,2024-12-12 00:47:54.632952,12/12/24
0:48:12,17804,0.2,17.804,202.2017524151876,41317821775,2024-12-12 00:48:12.436952,12/12/24
0:48:30,17979,0.2,17.979,200.2336058735191,41317839754,2024-12-12 00:48:30.415952,12/12/24
0:48:48,18187,0.2,18.187,197.94358607796778,41317857941,2024-12-12 00:48:48.602952,12/12/24
0:49:6,18198,0.2,18.198,197.82393669634027,41317876139,2024-12-12 00:49:06.800952,12/12/24
0:49:24,18113,0.2,18.113,198.75227736984488,41317894252,2024-12-12 00:49:24.913952,12/12/24
0:49:45,20089,0.18,20.089,179.20254865846982,41317914341,2024-12-12 00:49:45.002952,12/12/24
0:50:11,26600,0.14,26.6,135.33834586466165,41317940941,2024-12-12 00:50:11.602952,12/12/24
0:50:38,26539,0.14,26.539,135.64942160593844,41317967480,2024-12-12 00:50:38.141952,12/12/24
0:51:4,26571,0.14,26.571,135.48605622671334,41317994051,2024-12-12 00:51:04.712952,12/12/24
0:51:31,26776,0.13,26.776,134.448760083657,41318020827,2024-12-12 00:51:31.488952,12/12/24
0:51:58,26807,0.13,26.807,134.2932816055508,41318047634,2024-12-12 00:51:58.295952,12/12/24
0:52:25,27072,0.13,27.072,132.9787234042553,41318074706,2024-12-12 00:52:25.367952,12/12/24
0:52:52,27112,0.13,27.112,132.78253172027146,41318101818,2024-12-12 00:52:52.479952,12/12/24
0:53:19,27044,0.13,27.044,133.11640289897943,41318128862,2024-12-12 00:53:19.523952,12/12/24
0:53:46,27124,0.13,27.124,132.72378705205722,41318155986,2024-12-12 00:53:46.647952,12/12/24
0:54:13,26787,0.13,26.787,134.39354910964275,41318182773,2024-12-12 00:54:13.434952,12/12/24
0:54:40,27216,0.13,27.216,132.27513227513228,41318209989,2024-12-12 00:54:40.650952,12/12/24
0:55:8,27440,0.13,27.44,131.19533527696794,41318237429,2024-12-12 00:55:08.090952,12/12/24
0:55:35,27713,0.13,27.713,129.9029336412514,41318265142,2024-12-12 00:55:35.803952,12/12/24
0:56:3,27979,0.13,27.979,128.6679295185675,41318293121,2024-12-12 00:56:03.782952,12/12/24
0:56:31,27726,0.13,27.726,129.84202553559837,41318320847,2024-12-12 00:56:31.508952,12/12/24
0:56:59,27534,0.13,27.534,130.74743952930922,41318348381,2024-12-12 00:56:59.042952,12/12/24
0:57:26,27664,0.13,27.664,130.13302486986697,41318376045,2024-12-12 00:57:26.706952,12/12/24
0:57:54,27454,0.13,27.454,131.12843301522545,41318403499,2024-12-12 00:57:54.160952,12/12/24
0:58:21,27726,0.13,27.726,129.84202553559837,41318431225,2024-12-12 00:58:21.886952,12/12/24
0:58:48,26984,0.13,26.984,133.41239252890603,41318458209,2024-12-12 00:58:48.870952,12/12/24
0:59:15,27045,0.13,27.045,133.11148086522462,41318485254,2024-12-12 00:59:15.915952,12/12/24
0:59:43,27100,0.13,27.1,132.84132841328415,41318512354,2024-12-12 00:59:43.015952,12/12/24
1:0:9,26852,0.13,26.852,134.06822583047818,41318539206,2024-12-12 01:00:09.867952,12/12/24
1:0:36,27076,0.13,27.076,132.9590781503915,41318566282,2024-12-12 01:00:36.943952,12/12/24
1:1:3,26838,0.13,26.838,134.1381623071764,41318593120,2024-12-12 01:01:03.781952,12/12/24
1:1:30,26857,0.13,26.857,134.0432661875861,41318619977,2024-12-12 01:01:30.638952,12/12/24
1:1:57,26886,0.13,26.886,133.89868332961393,41318646863,2024-12-12 01:01:57.524952,12/12/24
1:2:24,26992,0.13,26.992,133.37285121517488,41318673855,2024-12-12 01:02:24.516952,12/12/24
1:2:51,26908,0.13,26.908,133.78920767058125,41318700763,2024-12-12 01:02:51.424952,12/12/24
1:3:18,27021,0.13,27.021,133.22971022538027,41318727784,2024-12-12 01:03:18.445952,12/12/24
1:3:45,27294,0.13,27.294,131.89712024620795,41318755078,2024-12-12 01:03:45.739952,12/12/24
1:4:12,26940,0.13,26.94,133.630289532294,41318782018,2024-12-12 01:04:12.679952,12/12/24
