days,kWh
21/08/23,0.696
22/08/23,3.701
23/08/23,4.231
24/08/23,3.677
25/08/23,4.124
26/08/23,4.558
27/08/23,3.611
28/08/23,3.444
29/08/23,3.507
30/08/23,3.699
31/08/23,3.609
01/09/23,3.951
02/09/23,4.259
03/09/23,3.642
04/09/23,3.632
05/09/23,3.631
06/09/23,3.322
07/09/23,3.383
08/09/23,4.149
09/09/23,4.04
10/09/23,4.067
11/09/23,3.981
12/09/23,3.475
13/09/23,4.359
14/09/23,3.835
15/09/23,3.762
16/09/23,4.182
17/09/23,4.723
18/09/23,3.952
19/09/23,3.223
20/09/23,3.166
21/09/23,3.899
22/09/23,3.783
23/09/23,3.109
24/09/23,3.781
25/09/23,4.16
26/09/23,3.677
27/09/23,3.674
28/09/23,4.676
29/09/23,4.27
30/09/23,4.466
01/10/23,3.817
02/10/23,3.443
03/10/23,4.302
04/10/23,3.876
05/10/23,3.822
06/10/23,3.479
07/10/23,4.044
08/10/23,3.687
09/10/23,3.413
10/10/23,4.156
11/10/23,3.378
12/10/23,3.853
13/10/23,3.854
14/10/23,3.633
15/10/23,3.75
16/10/23,4.275
17/10/23,3.277
18/10/23,3.884
19/10/23,3.06
20/10/23,2.055
21/10/23,2.042
22/10/23,2.387
23/10/23,4.077
24/10/23,3.679
25/10/23,4.345
26/10/23,3.594
27/10/23,3.958
28/10/23,3.753
29/10/23,3.808
30/10/23,4.107
31/10/23,4.064
01/11/23,3.704
02/11/23,3.128
03/11/23,3.766
04/11/23,3.571
05/11/23,3.607
06/11/23,3.668
07/11/23,3.676
08/11/23,3.312
09/11/23,3.837
10/11/23,3.257
11/11/23,3.75
12/11/23,3.657
13/11/23,4.07
14/11/23,3.564
15/11/23,3.423
16/11/23,3.727
17/11/23,4.117
18/11/23,4.331
19/11/23,3.941
20/11/23,4.156
21/11/23,4.267
22/11/23,3.772
23/11/23,3.925
24/11/23,3.826
25/11/23,3.929
26/11/23,3.701
27/11/23,4.032
28/11/23,4.403
29/11/23,3.881
30/11/23,3.508
01/12/23,3.681
