,0,1,2,3,4,5,6,7
dt,2024-06-23 13:00:00,2024-06-24 13:00:00,2024-06-25 13:00:00,2024-06-26 13:00:00,2024-06-27 13:00:00,2024-06-28 13:00:00,2024-06-29 13:00:00,2024-06-30 13:00:00
sunrise,2024-06-23 05:47:34,2024-06-24 05:47:53,2024-06-25 05:48:15,2024-06-26 05:48:39,2024-06-27 05:49:06,2024-06-28 05:49:35,2024-06-29 05:50:07,2024-06-30 05:50:41
sunset,2024-06-23 21:58:06,2024-06-24 21:58:11,2024-06-25 21:58:13,2024-06-26 21:58:12,2024-06-27 21:58:08,2024-06-28 21:58:02,2024-06-29 21:57:53,2024-06-30 21:57:41
moonrise,2024-06-23 23:54:00,1970-01-01 01:00:00,2024-06-25 00:25:00,2024-06-26 00:48:00,2024-06-27 01:07:00,2024-06-28 01:24:00,2024-06-29 01:39:00,2024-06-30 01:55:00
moonset,2024-06-23 06:32:00,2024-06-24 07:52:00,2024-06-25 09:18:00,2024-06-26 10:42:00,2024-06-27 12:06:00,2024-06-28 13:28:00,2024-06-29 14:49:00,2024-06-30 16:11:00
moon_phase,0.55,0.58,0.62,0.66,0.7,0.75,0.77,0.8
pressure,1021,1018,1012,1007,1009,1009,1009,1005
humidity,55,46,42,43,60,95,74,92
dew_point,10.98,12.35,13.74,15.03,16.74,16.84,15.99,13.97
wind_speed,2.48,3.56,4.05,3.35,2.8,2.65,4.2,5.56
wind_deg,41,66,70,96,231,277,231,281
wind_gust,5.65,5.33,7.74,6.37,6.56,6.94,7.19,11.87
pop,0,0,0,1,1,1,1,1
uvi,8.28,8.42,8.18,7.09,7.4,8.0,8.0,8.0
rain,,,,4.32,3.3,35.69,3.3,6.48
